date,quantity
10/1/15,44500
11/1/15,27500
12/1/15,36000
1/1/16,52000
2/1/16,34000
3/1/16,56500
4/1/16,49500
5/1/16,43000
6/1/16,24000
7/1/16,32000
8/1/16,42500
9/1/16,37500
10/1/16,25000
11/1/16,35000
12/1/16,25500
1/1/17,70000
2/1/17,47000
3/1/17,91000
4/1/17,45000
5/1/17,46000
6/1/17,87000
7/1/17,51500
8/1/17,20000
9/1/17,52833.33333
10/1/17,41444.44444
11/1/17,38000
12/1/17,44092.59259
1/1/18,41179.01235
2/1/18,44979
3/1/18,75000
4/1/18,41000
5/1/18,28500
6/1/18,74000
7/1/18,52500
8/1/18,38000
9/1/18,33500
10/1/18,15000
11/1/18,57500
12/1/18,41824
1/1/19,13000
2/1/19,42000
3/1/19,37500
4/1/19,30833.33333
5/1/19,61000
6/1/19,29500
7/1/19,56000
8/1/19,41500
9/1/19,42333.33333
10/1/19,46611.11111
11/1/19,66000
12/1/19,60000
1/1/20,57537.03704
2/1/20,45000
3/1/20,43500
4/1/20,81000
5/1/20,53000
6/1/20,83500
7/1/20,58000
8/1/20,98000
9/1/20,53000
10/1/20,80000
11/1/20,77000
12/1/20,74500
1/1/21,90000
2/1/21,99500
3/1/21,80000
4/1/21,65000
5/1/21,87000
6/1/21,96350
7/1/21,88500
8/1/21,70000
9/1/21,73000
10/1/21,62000
11/1/21,68000
12/1/21,70000
1/1/22,75000
2/1/22,77000
3/1/22,87000
4/1/22,21000
